S.No.,Name of Project,Department,Principal Investigator/ Investigator/ Mentor /Main Contact Person,Co-PI/Other Investigator etc,Funding Agency,From,To,"Amount, Rs.",Status
36,Adaptive methods for channel and RF front-end equalization in NOMA systems,ECE,Dr. Ashutosh Kar,Dr. Sandeep (NITK),DST,23-Aug,26-Aug,2859000,Ongoing
37,Visvesvaraya PhD fellowship for Electronics and IT-Phase- I,Institute,Dr Ashish Raman (Nodal Officer),-,MeitY,23-Aug,28-Aug,18154000,Ongoing
38,Design and development of System on Chip based next generation IoT System for Industry 4.0 with Functional Safety and Security Features,ECE,Dr Ashish Raman,-,MeitY,23-May,27-May,9600000,Ongoing (overall 48000000 (96 lakhsÿ NITJ)
39,Design and Development of Terahertz Self-Multiplex Antennas Using Substrate Integrated Waveguide for 6G Wireless Communication System,ECE,Dr. Kundan Kumar,-,ANRF-SERB,22-Oct,25-Apr,1631540,Ongoing
40,Visvesvaraya PhD fellowship for Electronics and IT-Phase- II,Institute,Dr Ashish Raman (Nodal Officer),-,MeitY,22-Sep,27-Sep,10892400,Ongoing
41,Capacity building for human resource development in unmanned Aircraft system (Drone Related and Technology),ECE,Dr. Arun Khosla,-,Drone and related technology Project under MEITY,22-Jul,27-Jul,2000000,Ongoing
42,Deep Learning based Image Plant Phenotyping for Agriculture Crops,IT,Dr. Vikas Chauhan,"Prof. Aruna Tiwari (IIT Indore),CO-PI2 Dr.Milind B. Ratnaparkhe (Principal Scientist,Indian Institute of Soybean Research Indore)",AgriHub: Innovation Hub for Agriculture (AI/ML & Deep Learning CoE) IIT Indore,25-Apr,26-Mar,617000,Ongoing
43,Design and Development of Agriculture-Artificial Intelligence Based Techniques for Saffron Production in India,IT,Dr. Ranjeet Kumar Rout (PI),Dr. Saiyed Umer (Co-PI),AWADH,24-Jul,27-Jul,2040240,Ongoing
44,Condition Monitoring of Solid Dielectric used in Submarine power cables under HVAC and HVDC,EE,Dr. Sounak Nandi,,ANRF,05.06.2025,04.06.2028,6714720,Ongoing
45,Study of performance and constructional requirements of covered conductor for voltage rating upto 110 KV,EE,Dr. Sounak Nandi,"Dr. Harimurugan, Dr. Ravi verma",BIS,Jul-24,Jul-25,912000,Ongoing
